A1-C1,A1-C2,A1-C3,A1-C4,A1-C5,A1-C6,A2-C1,A2-C2,A2-C3,A2-C4,A2-C5,A2-C6,A3-C1,A3-C2,A3-C3,A3-C4,A3-C5,A3-C6,A4-C1,A4-C2,A4-C3,A4-C4,A4-C5,A4-C6,A5-C1,A5-C2,A5-C3,A5-C4,A5-C5,A5-C6,A6-C1,A6-C2,A6-C3,A6-C4,A6-C5,A6-C6,model_type,beta,hs,memory
0.011219024658203125,0.040480613708496094,-0.3936765044927597,,,,0.841045543551445,0.8430521488189697,-0.11095432937145233,,,,-0.47240352630615234,-0.5287501662969589,0.011639416217803955,,,,,,,0.06441611051559448,,-0.0024407613091170788,,,,,,,,,,0.040453314781188965,,0.09837654232978821,hybrid,0.4,6,low
0.14702235162258148,0.653445839881897,-0.26014357805252075,,,,-0.13800901174545288,0.6245951056480408,-0.004206627607345581,,,,-0.17320495285093784,-0.24312999844551086,0.7790984064340591,,,,,,,0.7369928508996964,,-0.43882396072149277,,,,,,,,,,-0.5241661965847015,,0.7314723134040833,pure,0.1,256,high
0.6539353579282761,0.8071434795856476,0.1295228898525238,,,,0.10521477460861206,0.9313878417015076,0.2072511464357376,,,,-0.24036012374563143,-0.04178285598754883,0.8538345992565155,,,,,,,0.2155017852783203,-0.5628766417503357,0.05736403167247772,,,,0.1202094554901123,-0.25340378284454346,-0.09858839213848114,,,,-0.34189367294311523,-0.3390333279967308,0.8022990077733994,hybrid,0.3,32,medium
-0.6813729703426361,0.3278946280479431,0.3386164903640747,,,,-0.1630881428718567,0.9782465361058712,0.8009325861930847,,,,-0.1248638778924942,0.6715461611747742,0.9989131689071655,,,,,,,0.6383288502693176,-0.5762989521026611,-0.7187914252281189,,,,0.3760630339384079,-0.25449448823928833,0.184671550989151,,,,-0.5511012077331543,-0.3437562361359596,0.5287328362464905,pure,1.0,256,high
-0.06931588053703308,0.5433509945869446,-0.11017273366451263,,,,-0.014873534440994263,0.8374054729938507,-0.40221700072288513,,,,-0.3025364577770233,-0.3091811239719391,0.9526390433311462,,,,,,,0.8560290783643723,0.18465326726436615,-0.7415224313735962,,,,0.3718744367361069,0.9340903162956238,-0.38189704716205597,,,,-0.07264582812786102,-0.12951643951237202,0.916582502424717,pure,0.9,32,medium
0.6153861284255981,0.6461423933506012,-0.2613505609333515,,,,0.7632396668195724,0.7036576867103577,-0.38788731023669243,,,,-0.26300493627786636,-0.5663881078362465,0.3203795552253723,,,,,,,0.9746777769178152,,-0.2511039860546589,,,,,,,,,,-0.48858161829411983,,0.7902314066886902,pure,0.3,32,medium
0.552451066672802,0.6481124758720398,0.6248031258583069,,,,0.6096349908038974,0.8731531053781509,0.7593311667442322,,,,-0.24689915589988232,0.6318176239728928,0.9010227099061012,,,,,,,0.6766216158866882,0.05840355157852173,-0.3833845183253288,,,,0.4314176142215729,0.3908628821372986,-0.2614600285887718,,,,0.006084918975830078,-0.03466622717678547,0.8847097530961037,pure,0.4,32,medium
0.17851120233535767,0.5330697000026703,0.16049891710281372,,,,0.14370030164718628,0.8582010120153427,0.3763957619667053,,,,-0.037743814289569855,0.18756449222564697,0.4490245580673218,,,,,,,0.6398338079452515,0.0681886225938797,-0.4701910726726055,,,,-0.10353031754493713,0.26309701800346375,0.5404784232378006,,,,-0.6161744184792042,-0.3352832794189453,0.8775190487504005,pure,0.1,32,medium
0.8900506794452667,0.7492646872997284,-0.1664343774318695,,,,0.888392698019743,0.6665750443935394,-0.08812758326530457,,,,-0.09239676594734192,-0.046053290367126465,0.559260904788971,,,,,,,0.3899874687194824,,-0.06654277257621288,,,,,,,,,,-0.36783377500250936,,0.544971376657486,hybrid,0.1,32,medium
0.49191348254680634,0.7907218933105469,0.668645590543747,,,,0.48504601046442986,0.9999955296516418,0.6536242663860321,,,,0.03600269556045532,0.6599145531654358,0.6584118008613586,,,,,,,0.6191009283065796,0.11438587307929993,-0.29598119854927063,,,,0.3249351531267166,0.3820241689682007,0.3652588725090027,,,,-0.2544093132019043,-0.12206992506980896,0.4184892773628235,hybrid,0.9,256,high
,,,,,,,0.8039029836654663,-0.0006342866108752787,,,,,-0.8483603000640869,0.5886247754096985,,,,,,,0.08124536275863647,,0.1473867380991578,,,,,,,,,,-0.9973716735839844,,0.13012143969535828,pure,0.3,6,low
,,,,,,,0.8050784170627594,1.2689456525549758e-06,,,,,-0.785915655530971,0.43364548683166504,,,,,,,0.11829644441604614,,,,,,,,,,,,,,,hybrid,0.8,6,low
-0.5510566383600235,,,,,,,,,,,,,,,,,,,,,0.8150923103094101,0.0,-0.04996694251894951,,,,-0.13479793071746826,-0.5086853206157684,-0.262393593788147,,,,-0.587006451562047,-0.4002128392457962,0.45975202322006226,pure,0.7,256,high
-0.19636636972427368,0.9666593447327614,0.4091750383377075,,,,-0.0918092131614685,0.650208055973053,0.407583624124527,,,,-0.20611756294965744,0.21599522233009338,0.8681557178497314,,,,,,,0.7996686697006226,-0.0924258828163147,-0.23743696510791779,,,,0.23246419429779053,0.43339089304208755,-0.03653588891029358,,,,-0.162679523229599,0.11768807284533978,0.3509054183959961,pure,0.2,256,high
0.14016756415367126,0.5088101029396057,0.18973028659820557,,,,-0.5708319246768951,0.016715168952941895,0.5685955882072449,,,,-0.2044676854275167,0.3002888560295105,0.16843640804290771,,,,,,,0.15716198831796646,,-0.05773383378982544,,,,,,,,,,-0.26628536952193826,,0.3482241630554199,hybrid,0.8,6,low
0.30177995562553406,0.7108035683631897,0.07427823543548584,,,,-0.42781370878219604,0.9030281975865364,0.06565585732460022,,,,-0.17559312283992767,-0.15711738169193268,0.8616674393415451,,,,,,,0.3470022678375244,-0.7963957116007805,-0.09380059130489826,,,,0.277995765209198,-0.3342306911945343,-0.08081315457820892,,,,-0.4399622417986393,-0.4650571942329407,0.7967648208141327,pure,1.0,32,medium
0.4613110087811947,0.9074439331889153,-0.04690927267074585,,,,0.2405312955379486,0.7112464606761932,0.2594611346721649,,,,0.3521963283419609,-0.0444103479385376,0.32429397106170654,,,,,,,0.3192228078842163,-0.3704715073108673,-0.16722600907087326,,,,0.014811575412750244,0.038858890533447266,0.12499508261680603,,,,-0.2115117758512497,-0.32981945940991864,0.5480937957763672,hybrid,0.2,32,medium
,,,,,,,0.8347937762737274,-0.026258230209350586,,,,,0.18776288628578186,0.6668159365653992,,,,,,,0.5763469934463501,,-0.20422667916864157,,,,,,,,,,-0.43409200944006443,,0.5402815341949463,pure,0.1,32,medium
0.4580651521682739,0.6803832054138184,-0.025502676144242287,,,,0.14464223384857178,0.724965900182724,-0.29314133524894714,,,,-0.6733043193817139,-0.1766970157623291,0.5442860722541809,,,,,,,0.6970050930976868,-0.07077978551387787,-0.7561065107584,,,,0.19839388132095337,0.19278787076473236,-0.171843022108078,,,,-0.1595732420682907,-0.5645784586668015,0.5149879157543182,pure,0.6,32,medium
0.23964913561940193,0.6240192651748657,-0.5145680531859398,,,,-0.022315502166748047,0.7783598899841309,-0.41545315831899643,,,,-0.3351461589336395,-0.34676773846149445,0.8494457751512527,,,,,,,0.6479758024215698,-0.14012834429740906,-0.14395838975906372,,,,-0.19525378942489624,0.302807092666626,-0.34641873836517334,,,,-0.09151342511177063,-0.2619587779045105,0.7551111727952957,hybrid,0.5,32,medium
,,,,,,,,,,,,,,,,,,,,,0.9483845718204975,0.049234202364459634,-0.132345799356699,,,,-0.43052206188440323,-0.631778359413147,0.8765575587749481,,,,-0.4359743967652321,-0.48014605045318604,0.8310717344284058,hybrid,0.6,6,low
-0.2765100561082363,1.0000001192092896,-0.07292050123214722,,,,-0.41381463035941124,0.5003301501274109,0.28067588806152344,,,,-0.4735700190067291,0.22367554903030396,0.2982299327850342,,,,,,,0.10947704315185547,-0.13219375163316727,-0.5107476531993598,,,,0.006777584552764893,0.13613581657409668,-0.13284048438072205,,,,-0.3278964623459615,-0.42569831013679504,0.2905721068382263,pure,0.9,32,medium
0.23505878448486328,0.5075754523277283,0.4271993935108185,,,,0.21785588562488556,0.8867988884449005,0.4962365925312042,,,,-0.1295945942401886,0.31265008449554443,0.3681600093841553,,,,,,,0.4734826683998108,0.006088346242904663,-0.005482345819473267,,,,0.5527573227882385,0.45117367431521416,-0.03610903024673462,,,,0.21675553917884827,0.14573325216770172,0.5536071956157684,hybrid,0.5,256,high
