,name,path,task,L2,1,2,3,4,scores,beta,integration,integration_1,integration_2,integration_3,integration_4
0,model_blocked_hs_32_bs_12_beta_0.9_20_weights.pth,./trained_models_graphwalk,blocked,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.9,-0.010299180333286223,-0.01283110304211732,-0.051960779184644874,0.07266991413556613,
1,model_intermixed_hs_256_bs_12_beta_1_10_weights.pth,./trained_models_graphwalk,intermixed,256,43.28358208955223,63.63636363636363,53.84615384615385,,"{1: 43.28358208955223, 2: 63.63636363636363, 3: 53.84615384615385, 4: nan}",1,0.03470839142799378,0.014332239997797999,0.07189612090587616,0.04474841696875436,
2,model_intermixed_hs_256_bs_12_beta_0.7_4_weights.pth,./trained_models_graphwalk,intermixed,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,0.02774181751289753,0.02818089723587036,0.048488803885199806,-0.009530090368711032,
3,model_blocked_hs_128_bs_12_beta_0.2_9_weights.pth,./trained_models_graphwalk,blocked,128,61.940298507462686,50.0,53.84615384615385,,"{1: 61.940298507462686, 2: 50.0, 3: 53.84615384615385, 4: nan}",0.2,0.23606843876988948,0.29807422507599174,-0.0008375062183900313,0.24074347636529378,
4,model_blocked_hs_6_bs_12_beta_0.4_16_weights.pth,./trained_models_graphwalk,blocked,6,60.447761194029844,36.36363636363637,80.76923076923077,,"{1: 60.447761194029844, 2: 36.36363636363637, 3: 80.76923076923077, 4: nan}",0.4,0.16251598389511454,0.24840510830018717,-0.13431174430297688,0.057383820769332704,
5,model_intermixed_hs_6_bs_12_beta_0.4_9_weights.pth,./trained_models_graphwalk,intermixed,6,41.04477611940299,43.18181818181818,42.30769230769231,,"{1: 41.04477611940299, 2: 43.18181818181818, 3: 42.30769230769231, 4: nan}",0.4,0.027878146018723356,0.024786119116470218,0.09413314022515949,-0.07110216400840065,
6,model_blocked_hs_6_bs_12_beta_0.9_0_weights.pth,./trained_models_graphwalk,blocked,6,45.52238805970149,52.27272727272727,61.53846153846154,,"{1: 45.52238805970149, 2: 52.27272727272727, 3: 61.53846153846154, 4: nan}",0.9,0.16375758588314057,0.13612751242872634,0.12757763181529616,0.3211059249006212,
7,model_intermixed_hs_32_bs_12_beta_0.6_6_weights.pth,./trained_models_graphwalk,intermixed,32,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.6,-0.058471556188482224,-0.06423409015405923,-0.01760911061005159,-0.09925398918298575,
8,model_intermixed_hs_64_bs_12_beta_0.7_12_weights.pth,./trained_models_graphwalk,intermixed,64,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.7,-0.014733451183396156,0.016033718828111887,-0.05480703034184196,-0.09838576958729671,
9,model_blocked_hs_256_bs_12_beta_0.1_22_weights.pth,./trained_models_graphwalk,blocked,256,49.25373134328358,56.81818181818182,42.30769230769231,,"{1: 49.25373134328358, 2: 56.81818181818182, 3: 42.30769230769231, 4: nan}",0.1,0.4296972194284785,0.3825374553826722,0.5435061737895012,0.45399908924644644,
10,model_intermixed_hs_32_bs_12_beta_0.3_15_weights.pth,./trained_models_graphwalk,intermixed,32,58.2089552238806,56.81818181818182,50.0,,"{1: 58.2089552238806, 2: 56.81818181818182, 3: 50.0, 4: nan}",0.3,0.3832719976981652,0.42939663988848525,0.30734227746725085,0.25254283730800337,
11,model_intermixed_hs_64_bs_12_beta_0.6_1_weights.pth,./trained_models_graphwalk,intermixed,64,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.6,0.047971881098217435,0.06618012115359306,0.024548835375092247,-0.0020296848737276518,
12,model_blocked_hs_256_bs_12_beta_0.3_13_weights.pth,./trained_models_graphwalk,blocked,256,58.2089552238806,75.0,92.3076923076923,,"{1: 58.2089552238806, 2: 75.0, 3: 92.3076923076923, 4: nan}",0.3,0.3708265709656256,0.33095644146968156,0.469938698591608,0.364125316341718,
13,model_intermixed_hs_32_bs_12_beta_0.1_24_weights.pth,./trained_models_graphwalk,intermixed,32,55.970149253731336,29.545454545454547,15.384615384615385,,"{1: 55.970149253731336, 2: 29.545454545454547, 3: 15.384615384615385, 4: nan}",0.1,0.27648926171494403,0.2779000743416448,0.2644527990084428,0.2891550287604332,
14,model_intermixed_hs_128_bs_12_beta_0.5_8_weights.pth,./trained_models_graphwalk,intermixed,128,50.0,52.27272727272727,50.0,,"{1: 50.0, 2: 52.27272727272727, 3: 50.0, 4: nan}",0.5,0.10622527833702494,0.08651204184809727,0.15634284071300342,0.11915473296092106,
15,model_intermixed_hs_256_bs_12_beta_0.8_9_weights.pth,./trained_models_graphwalk,intermixed,256,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.8,-0.008019995207738394,-0.006107513792812824,-0.0002592504024505615,-0.030568856459397536,
16,model_intermixed_hs_64_bs_12_beta_0.5_23_weights.pth,./trained_models_graphwalk,intermixed,64,47.76119402985074,50.0,50.0,,"{1: 47.76119402985074, 2: 50.0, 3: 50.0, 4: nan}",0.5,0.02788021739083107,0.012032967992126942,-0.010076513344591314,0.17013191259824312,
