I,task,L2,1,2,3,4,end_loss,mID,weight_name,path
38,B,6,57.0135746606335,57.5,60,53.8461538461539,0.0417,38,B_6_38.pt,/home/k/DATA/graphwalk/torchweights_v2/B_6_38.pt
39,B,6,44.2307692307692,45.3846153846154,44.2307692307692,0,0.0415,39,B_6_39.pt,/home/k/DATA/graphwalk/torchweights_v2/B_6_39.pt
40,B,6,50.8620689655172,45.0450450450451,60.377358490566,71.4285714285714,0.0451,40,B_6_40.pt,/home/k/DATA/graphwalk/torchweights_v2/B_6_40.pt
41,B,6,41.2844036697248,37.3831775700935,73.9130434782609,100,0.049,41,B_6_41.pt,/home/k/DATA/graphwalk/torchweights_v2/B_6_41.pt
42,B,9,46.6019417475728,49.5867768595041,74.5098039215686,66.6666666666667,0.0008,42,B_9_42.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_42.pt
43,B,9,50.4807692307692,44.9612403100775,41.8181818181818,11.1111111111111,0.021,43,B_9_43.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_43.pt
44,B,9,46.4912280701754,43.4782608695652,56.8181818181818,78.5714285714286,0.0269,44,B_9_44.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_44.pt
45,B,9,48.0851063829787,50.4201680672269,48.7179487179487,25,0,45,B_9_45.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_45.pt
46,B,9,55.7522123893805,43.4426229508197,63.0434782608696,40,0.0232,46,B_9_46.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_46.pt
47,B,9,50.2164502164502,50.4504504504505,71.4285714285714,69.2307692307692,0.0002,47,B_9_47.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_47.pt
48,B,9,48.6842105263158,53.1531531531532,41.304347826087,23.0769230769231,0.0002,48,B_9_48.pt,/home/k/DATA/graphwalk/torchweights_v2/B_9_48.pt
49,B,12,49.1379310344828,70.0854700854701,53.4883720930233,71.4285714285714,0.0083,49,B_12_49.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_49.pt
50,B,12,44.8717948717949,45.8715596330275,39.0625,33.3333333333333,0.0001,50,B_12_50.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_50.pt
51,B,12,39.8230088495575,32.4324324324324,35.4166666666667,60,0.0001,51,B_12_51.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_51.pt
52,B,12,36.0995850622407,52.7272727272727,42.3076923076923,70,0.0001,52,B_12_52.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_52.pt
53,B,12,48.4018264840183,46.551724137931,25.4545454545455,45.4545454545455,0.0002,53,B_12_53.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_53.pt
54,B,12,47.3913043478261,34.5794392523364,25.4545454545455,0,0.0631,54,B_12_54.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_54.pt
55,B,12,47.9166666666667,24.7524752475248,23.0769230769231,15.3846153846154,0.0007,55,B_12_55.pt,/home/k/DATA/graphwalk/torchweights_v2/B_12_55.pt
56,B,15,45.9090909090909,50.4950495049505,51.2820512820513,78.9473684210526,0,56,B_15_56.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_56.pt
57,B,15,50.7772020725389,31.5384615384615,34.6938775510204,65,0.0219,57,B_15_57.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_57.pt
58,B,15,42.9864253393665,55.9633027522936,43.1034482758621,54.5454545454545,0.0001,58,B_15_58.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_58.pt
59,B,15,47.887323943662,50.7352941176471,27.0833333333333,33.3333333333333,0.0157,59,B_15_59.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_59.pt
60,B,15,50.6912442396313,43.9393939393939,36.5853658536585,83.3333333333333,0.0326,60,B_15_60.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_60.pt
61,B,15,43.1718061674009,49.6062992125984,56.7567567567568,27.2727272727273,0.0216,61,B_15_61.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_61.pt
62,B,15,53.3057851239669,39.8230088495575,47.7272727272727,25,0.0001,62,B_15_62.pt,/home/k/DATA/graphwalk/torchweights_v2/B_15_62.pt
63,B,18,54.4600938967136,46.0869565217391,42.3076923076923,11.1111111111111,0,63,B_18_63.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_63.pt
64,B,18,46.0869565217391,51.7543859649123,32.5581395348837,60,0.0422,64,B_18_64.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_64.pt
65,B,18,42.5925925925926,33.6134453781513,26.530612244898,35.7142857142857,0,65,B_18_65.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_65.pt
66,B,18,37.799043062201,48.8372093023256,36.5384615384615,46.1538461538462,0.0002,66,B_18_66.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_66.pt
67,B,18,46.7289719626168,37.956204379562,37.7358490566038,50,0.0265,67,B_18_67.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_67.pt
68,B,18,47.2727272727273,34.453781512605,24.5283018867925,41.6666666666667,0.0003,68,B_18_68.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_68.pt
69,B,18,47.5,28.5714285714286,38.1818181818182,60,0.0003,69,B_18_69.pt,/home/k/DATA/graphwalk/torchweights_v2/B_18_69.pt
