epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,26,6,18,26,9,0.024475760757923126,0.46262645721435547,4.1300811767578125,2.38049578666687
0,pure interleaved,26,6,18,13,15,0.02235034666955471,0.3959610164165497,4.039865016937256,7.760136127471924
0,pure interleaved,26,6,18,5,35,0.0272282175719738,0.8789743781089783,4.1422529220581055,1.9569519758224487
0,pure blocked,26,6,18,21,34,0.02560608647763729,0.8725481033325195,4.135043621063232,2.713085174560547
0,pure blocked,26,6,18,19,8,0.02810163050889969,0.8110051155090332,4.135897159576416,3.0224497318267822
0,pure interleaved,26,6,18,4,16,0.027878228574991226,0.26152729988098145,4.132804870605469,3.21309757232666
5,pure blocked,26,6,18,26,9,0.024148762226104736,0.6361129283905029,4.133645057678223,2.367732048034668
5,pure interleaved,26,6,18,13,15,0.022356687113642693,0.564763069152832,4.098405838012695,5.783547401428223
5,pure interleaved,26,6,18,5,35,0.02582530863583088,0.7444469928741455,4.162617206573486,1.16322660446167
5,pure blocked,26,6,18,21,34,0.024733806028962135,0.9381645321846008,4.136979579925537,2.388380527496338
5,pure blocked,26,6,18,19,8,0.027371201664209366,0.9210816025733948,4.13900089263916,3.1021487712860107
5,pure interleaved,26,6,18,4,16,0.027270376682281494,0.24657976627349854,4.128168106079102,3.2834389209747314
10,pure blocked,26,6,18,26,9,0.02365504950284958,0.691554605960846,4.130279064178467,2.375859498977661
10,pure interleaved,26,6,18,13,15,0.022151608020067215,0.6465888619422913,4.05364465713501,6.923641204833984
10,pure interleaved,26,6,18,5,35,0.024681417271494865,0.6134675741195679,4.16184139251709,1.0988110303878784
10,pure blocked,26,6,18,21,34,0.023627668619155884,0.9469031095504761,4.131072521209717,2.3423080444335938
10,pure blocked,26,6,18,19,8,0.025466345250606537,0.920194149017334,4.133623123168945,3.4503538608551025
10,pure interleaved,26,6,18,4,16,0.026500510051846504,0.24116525053977966,4.136080741882324,3.0065414905548096
15,pure blocked,26,6,18,26,9,0.02229594998061657,0.5467350482940674,4.137985706329346,2.3784947395324707
15,pure interleaved,26,6,18,13,15,0.02183590829372406,0.785747766494751,4.048616409301758,6.631974220275879
15,pure interleaved,26,6,18,5,35,0.022574633359909058,0.6521771550178528,4.1542487144470215,2.273040771484375
15,pure blocked,26,6,18,21,34,0.021000992506742477,0.9056793451309204,4.148758411407471,2.2548747062683105
15,pure blocked,26,6,18,19,8,0.023055672645568848,0.9526355862617493,4.127402305603027,3.9298226833343506
