epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,hybrid blocked,13,32,18,26,9,0.03133489936590195,0.11794562637805939,3.927828550338745,3.890484571456909
0,hybrid interleaved,13,32,18,13,15,0.02441340871155262,0.7648980617523193,4.1325788497924805,3.5743865966796875
0,hybrid interleaved,13,32,18,5,35,0.03118668869137764,0.41554832458496094,4.083962917327881,4.430367946624756
0,hybrid blocked,13,32,18,21,34,0.031689152121543884,0.2332809418439865,4.057101726531982,3.8733410835266113
0,hybrid blocked,13,32,18,19,8,0.023125575855374336,0.40413570404052734,3.946366786956787,6.3799896240234375
0,hybrid interleaved,13,32,18,4,16,0.02557775005698204,0.9006795287132263,4.110051155090332,2.9626388549804688
5,hybrid blocked,13,32,18,26,9,0.02243158593773842,0.2720526158809662,4.118250370025635,2.5889675617218018
5,hybrid interleaved,13,32,18,13,15,0.018903370946645737,0.7617101073265076,4.11453914642334,4.230912208557129
5,hybrid interleaved,13,32,18,5,35,0.024352965876460075,0.31071314215660095,4.078932762145996,3.700042486190796
5,hybrid blocked,13,32,18,21,34,0.02519364096224308,0.13864772021770477,4.059560298919678,3.5872511863708496
5,hybrid blocked,13,32,18,19,8,0.015238231047987938,0.6589033603668213,3.9127912521362305,6.9218831062316895
5,hybrid interleaved,13,32,18,4,16,0.022111736238002777,0.5867222547531128,4.121977806091309,2.8810019493103027
10,hybrid blocked,13,32,18,26,9,0.015626054257154465,0.8480862975120544,4.12790060043335,2.71897292137146
10,hybrid interleaved,13,32,18,13,15,0.015309224836528301,0.8643763065338135,4.0626678466796875,4.806197643280029
10,hybrid interleaved,13,32,18,5,35,0.01931137405335903,0.4198731780052185,4.109779357910156,3.281438112258911
10,hybrid blocked,13,32,18,21,34,0.01972413808107376,0.14992371201515198,4.093871593475342,2.917400360107422
10,hybrid blocked,13,32,18,19,8,0.013397285714745522,0.8751945495605469,4.017061233520508,5.761141777038574
10,hybrid interleaved,13,32,18,4,16,0.01627095229923725,0.5923305749893188,4.117657661437988,2.560079574584961
15,hybrid blocked,13,32,18,26,9,0.011273961514234543,0.9701313376426697,4.127740859985352,2.5796120166778564
15,hybrid interleaved,13,32,18,13,15,0.010696767829358578,0.907904863357544,4.023475646972656,5.420947551727295
