epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,39,32,18,26,9,0.027614325284957886,0.34875065088272095,4.115339279174805,4.240049839019775
0,pure interleaved,39,32,18,13,15,0.024669481441378593,0.32439231872558594,4.112241268157959,4.00380802154541
0,pure interleaved,39,32,18,5,35,0.032577890902757645,0.4016953110694885,4.141937255859375,3.139204502105713
0,pure blocked,39,32,18,21,34,0.028879299759864807,0.1822112500667572,4.11052131652832,3.4743306636810303
0,pure blocked,39,32,18,19,8,0.02620961144566536,0.25882112979888916,4.117795467376709,5.048483371734619
0,pure interleaved,39,32,18,4,16,0.02353191189467907,0.8733367323875427,4.081265449523926,2.0200846195220947
5,pure blocked,39,32,18,26,9,0.025929082185029984,0.43042460083961487,3.9283556938171387,7.784310340881348
5,pure interleaved,39,32,18,13,15,0.022907385602593422,0.27151474356651306,4.106949329376221,4.14988374710083
5,pure interleaved,39,32,18,5,35,0.025848662480711937,0.15909899771213531,4.127821922302246,3.116150379180908
5,pure blocked,39,32,18,21,34,0.026348870247602463,0.30907195806503296,4.111435413360596,3.891010284423828
5,pure blocked,39,32,18,19,8,0.023913467302918434,0.312395304441452,4.096256732940674,5.142394065856934
5,pure interleaved,39,32,18,4,16,0.022024085745215416,0.7782480120658875,4.119635581970215,2.2206530570983887
10,pure blocked,39,32,18,26,9,0.0257168710231781,0.7537147998809814,3.9856510162353516,6.794646263122559
10,pure interleaved,39,32,18,13,15,0.022596096619963646,0.3234841227531433,4.090949058532715,4.164426326751709
10,pure interleaved,39,32,18,5,35,0.023781325668096542,0.07321999967098236,4.119832992553711,3.332247257232666
10,pure blocked,39,32,18,21,34,0.024552304297685623,0.565232515335083,4.131860733032227,3.1488280296325684
10,pure blocked,39,32,18,19,8,0.02230370044708252,0.33964550495147705,4.126678943634033,4.609800338745117
10,pure interleaved,39,32,18,4,16,0.022763581946492195,0.7547116279602051,4.1047043800354,2.438950538635254
15,pure blocked,39,32,18,26,9,0.023361824452877045,0.8533822298049927,4.106776237487793,3.9431662559509277
15,pure interleaved,39,32,18,13,15,0.020864618942141533,0.4654693305492401,4.071352481842041,4.485827445983887
