epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,hybrid blocked,40,32,18,26,9,0.023734331130981445,0.1862524449825287,3.9827828407287598,4.616774559020996
0,hybrid interleaved,40,32,18,13,15,0.028800291940569878,0.19120091199874878,4.117415904998779,3.2379560470581055
0,hybrid interleaved,40,32,18,5,35,0.030051318928599358,0.6320933699607849,4.122277736663818,3.039309501647949
0,hybrid blocked,40,32,18,21,34,0.02423792891204357,0.06829892098903656,4.087738037109375,3.9608139991760254
0,hybrid blocked,40,32,18,19,8,0.02360621467232704,0.04435236006975174,4.122193336486816,2.5767455101013184
0,hybrid interleaved,40,32,18,4,16,0.026987966150045395,0.24987570941448212,4.0213727951049805,5.017961502075195
5,hybrid blocked,40,32,18,26,9,0.02731942944228649,0.21736861765384674,4.0963006019592285,3.587475538253784
5,hybrid interleaved,40,32,18,13,15,0.02421184442937374,0.29622548818588257,4.12613582611084,2.941588878631592
5,hybrid interleaved,40,32,18,5,35,0.023049239069223404,0.6265977621078491,4.109652996063232,3.5241124629974365
5,hybrid blocked,40,32,18,21,34,0.019857129082083702,0.04189954698085785,4.132846355438232,2.858717918395996
5,hybrid blocked,40,32,18,19,8,0.018566207960247993,0.41796883940696716,4.116720199584961,3.4468295574188232
5,hybrid interleaved,40,32,18,4,16,0.020759668201208115,0.30646833777427673,3.917797088623047,5.98043155670166
10,hybrid blocked,40,32,18,26,9,0.020143160596489906,0.7699172496795654,4.105625152587891,3.6519246101379395
10,hybrid interleaved,40,32,18,13,15,0.0179736465215683,0.5317707061767578,4.082815647125244,3.7746493816375732
10,hybrid interleaved,40,32,18,5,35,0.017088377848267555,0.7520701885223389,4.113495826721191,3.186018228530884
10,hybrid blocked,40,32,18,21,34,0.01439697202295065,0.061712801456451416,4.147711277008057,2.511305809020996
10,hybrid blocked,40,32,18,19,8,0.014785325154662132,0.47018828988075256,4.058948516845703,3.6243815422058105
10,hybrid interleaved,40,32,18,4,16,0.015360938385128975,0.4615253210067749,3.999056577682495,4.841550350189209
15,hybrid blocked,40,32,18,26,9,0.014392162673175335,0.9547019004821777,4.11845064163208,3.9389424324035645
15,hybrid interleaved,40,32,18,13,15,0.013479265384376049,0.6281246542930603,4.019623279571533,4.141366004943848
15,hybrid interleaved,40,32,18,5,35,0.012317821383476257,0.8458728790283203,4.1265764236450195,2.9278056621551514
15,hybrid blocked,40,32,18,21,34,0.011343826539814472,0.10319624841213226,4.134058952331543,2.7961273193359375
15,hybrid blocked,40,32,18,19,8,0.012129104696214199,0.6293301582336426,4.004881381988525,3.8744823932647705
15,hybrid interleaved,40,32,18,4,16,0.012656538747251034,0.7199238538742065,3.9009358882904053,6.1365461349487305
20,hybrid blocked,40,32,18,26,9,0.010997490957379341,0.998284101486206,4.129031181335449,2.96281361579895
20,hybrid interleaved,40,32,18,13,15,0.012193911708891392,0.8183726668357849,4.023358345031738,4.286942481994629
20,hybrid interleaved,40,32,18,5,35,0.01014025416225195,0.8573070168495178,4.132341384887695,2.843977689743042
20,hybrid blocked,40,32,18,21,34,0.009672272950410843,0.14750133454799652,4.135570049285889,2.7882986068725586
20,hybrid blocked,40,32,18,19,8,0.010069078765809536,0.9067829251289368,4.079591751098633,3.5426132678985596
20,hybrid interleaved,40,32,18,4,16,0.013174990192055702,0.7477458715438843,3.9775986671447754,5.503494739532471
25,hybrid blocked,40,32,18,26,9,0.009659703820943832,0.9999995827674866,4.141556262969971,2.6655123233795166
25,hybrid interleaved,40,32,18,13,15,0.01061848271638155,0.9163506627082825,4.014134883880615,4.480196475982666
25,hybrid interleaved,40,32,18,5,35,0.009012522175908089,0.8752857446670532,4.141513824462891,2.666398286819458
25,hybrid blocked,40,32,18,21,34,0.008640648797154427,0.14350983500480652,4.141548156738281,2.665663242340088
25,hybrid blocked,40,32,18,19,8,0.008013781160116196,0.9493379592895508,4.006275177001953,4.221273422241211
25,hybrid interleaved,40,32,18,4,16,0.010486776940524578,0.8371289372444153,3.9286446571350098,6.4256110191345215
30,hybrid blocked,40,32,18,26,9,0.008733403868973255,0.9999997019767761,4.144282341003418,2.523433208465576
30,hybrid interleaved,40,32,18,13,15,0.007809029892086983,0.9437156319618225,3.9907259941101074,5.067604064941406
30,hybrid interleaved,40,32,18,5,35,0.0082052918151021,0.9100655913352966,4.144260406494141,2.5240354537963867
30,hybrid blocked,40,32,18,21,34,0.008120490238070488,0.14221327006816864,4.144264221191406,2.524075746536255
30,hybrid blocked,40,32,18,19,8,0.007426153868436813,0.9890773296356201,4.023334503173828,3.998359203338623
30,hybrid interleaved,40,32,18,4,16,0.009037655778229237,0.8681130409240723,3.966036796569824,6.278295993804932
35,hybrid blocked,40,32,18,26,9,0.007873456925153732,0.9999997615814209,4.150443077087402,2.3382811546325684
35,hybrid interleaved,40,32,18,13,15,0.007976184599101543,0.9594972133636475,4.017274379730225,4.821345806121826
35,hybrid interleaved,40,32,18,5,35,0.007570338435471058,0.8615974187850952,4.150440216064453,2.3382534980773926
35,hybrid blocked,40,32,18,21,34,0.0075591024942696095,0.15103764832019806,4.1504411697387695,2.3380179405212402
35,hybrid blocked,40,32,18,19,8,0.005879418924450874,0.9919120669364929,3.9842984676361084,4.428423881530762
35,hybrid interleaved,40,32,18,4,16,0.007598512805998325,0.8991529941558838,3.93373966217041,6.69761323928833
40,hybrid blocked,40,32,18,26,9,0.007507550064474344,0.9999995231628418,4.148748874664307,2.3541245460510254
40,hybrid interleaved,40,32,18,13,15,0.006909714080393314,0.9721973538398743,4.032033920288086,4.716662406921387
40,hybrid interleaved,40,32,18,5,35,0.007256189361214638,0.8615097999572754,4.14874267578125,2.3545913696289062
40,hybrid blocked,40,32,18,21,34,0.007365148048847914,0.18554703891277313,4.148745536804199,2.354079484939575
40,hybrid blocked,40,32,18,19,8,0.004661621525883675,0.9950311183929443,3.9802379608154297,4.303296089172363
40,hybrid interleaved,40,32,18,4,16,0.006075162906199694,0.9196219444274902,3.963139533996582,6.6188201904296875
45,hybrid blocked,40,32,18,26,9,0.0065291100181639194,0.999998152256012,4.153966903686523,2.2971904277801514
45,hybrid interleaved,40,32,18,13,15,0.005907063838094473,0.9683164358139038,4.028807640075684,4.843127727508545
45,hybrid interleaved,40,32,18,5,35,0.00637849560007453,0.8927908539772034,4.153977870941162,2.2965474128723145
45,hybrid blocked,40,32,18,21,34,0.006611083634197712,0.17538370192050934,4.15397310256958,2.2970821857452393
45,hybrid blocked,40,32,18,19,8,0.00304734380915761,0.9943947196006775,3.9673445224761963,4.287858009338379
45,hybrid interleaved,40,32,18,4,16,0.004271151032298803,0.9409080743789673,3.961639881134033,6.594978332519531
50,hybrid blocked,40,32,18,26,9,0.005616774316877127,0.999997079372406,4.15316915512085,2.2963132858276367
50,hybrid interleaved,40,32,18,13,15,0.0041664233431220055,0.9781730771064758,4.035255432128906,4.959959506988525
50,hybrid interleaved,40,32,18,5,35,0.005615864880383015,0.890845000743866,4.153172969818115,2.296276092529297
50,hybrid blocked,40,32,18,21,34,0.005719704087823629,0.1696905493736267,4.153159141540527,2.2956485748291016
50,hybrid blocked,40,32,18,19,8,0.003346960060298443,0.9839917421340942,3.97806715965271,4.273642063140869
50,hybrid interleaved,40,32,18,4,16,0.0041318596340715885,0.9418189525604248,4.001368045806885,6.386608123779297
55,hybrid blocked,40,32,18,26,9,0.0063646393828094006,0.9999995827674866,4.156103134155273,2.130525588989258
55,hybrid interleaved,40,32,18,13,15,0.0046011414378881454,0.9878040552139282,4.067070484161377,4.592601776123047
55,hybrid interleaved,40,32,18,5,35,0.006360437721014023,0.9034377336502075,4.156108856201172,2.131066083908081
55,hybrid blocked,40,32,18,21,34,0.006470545660704374,0.20922455191612244,4.156106948852539,2.131681442260742
55,hybrid blocked,40,32,18,19,8,0.00273070577532053,0.985275387763977,3.99951434135437,4.003413200378418
55,hybrid interleaved,40,32,18,4,16,0.0025519034825265408,0.9593142867088318,4.020200729370117,6.148420333862305
60,hybrid blocked,40,32,18,26,9,0.0055847736075520515,0.9999886751174927,4.157952785491943,2.138213634490967
60,hybrid interleaved,40,32,18,13,15,0.0022270185872912407,0.991956889629364,4.0278449058532715,5.381211280822754
60,hybrid interleaved,40,32,18,5,35,0.005568867549300194,0.8954196572303772,4.157959461212158,2.137824773788452
60,hybrid blocked,40,32,18,21,34,0.005682404153048992,0.2521226406097412,4.157949447631836,2.137543201446533
60,hybrid blocked,40,32,18,19,8,0.0028568764682859182,0.9854671955108643,4.028375148773193,3.623638391494751
60,hybrid interleaved,40,32,18,4,16,0.0036045208107680082,0.9657623767852783,4.033658981323242,5.7566633224487305
65,hybrid blocked,40,32,18,26,9,0.005502770189195871,0.9999983310699463,4.1591057777404785,1.9281667470932007
65,hybrid interleaved,40,32,18,13,15,0.0036804904229938984,0.9936718940734863,4.072018146514893,4.653527736663818
65,hybrid interleaved,40,32,18,5,35,0.0055178129114210606,0.9582756757736206,4.159117221832275,1.9286613464355469
65,hybrid blocked,40,32,18,21,34,0.005601383280009031,0.2771039605140686,4.159113883972168,1.9288311004638672
65,hybrid blocked,40,32,18,19,8,0.0016681660199537873,0.9890816807746887,4.009629726409912,3.8429269790649414
65,hybrid interleaved,40,32,18,4,16,0.0041799587197601795,0.9768145680427551,4.07256555557251,5.036850929260254
70,hybrid blocked,40,32,18,26,9,0.005642359144985676,0.9999914765357971,4.159889221191406,1.8808600902557373
70,hybrid interleaved,40,32,18,13,15,0.002353501971811056,0.9938977956771851,4.055290699005127,5.141855716705322
70,hybrid interleaved,40,32,18,5,35,0.005658566486090422,0.9247627258300781,4.159883499145508,1.8808234930038452
70,hybrid blocked,40,32,18,21,34,0.005642682779580355,0.2640139162540436,4.159862995147705,1.8798682689666748
70,hybrid blocked,40,32,18,19,8,0.0016890858532860875,0.9881067276000977,4.026059150695801,3.505740165710449
70,hybrid interleaved,40,32,18,4,16,0.0016731084324419498,0.9798045754432678,4.040441036224365,5.689743518829346
75,hybrid blocked,40,32,18,26,9,0.005252734292298555,0.9999964833259583,4.15604305267334,1.8439308404922485
75,hybrid interleaved,40,32,18,13,15,0.0012509627267718315,0.9964891076087952,4.052770614624023,5.379051208496094
75,hybrid interleaved,40,32,18,5,35,0.0051859295926988125,0.9834581613540649,4.156095027923584,1.84334397315979
75,hybrid blocked,40,32,18,21,34,0.005197425838559866,0.3039100170135498,4.1560187339782715,1.8441832065582275
75,hybrid blocked,40,32,18,19,8,0.001307039987295866,0.9864983558654785,4.048083782196045,3.2056078910827637
75,hybrid interleaved,40,32,18,4,16,0.0022004160564392805,0.9874870777130127,4.06301736831665,5.0480475425720215
80,hybrid blocked,40,32,18,26,9,0.004503993783146143,0.9999889135360718,4.15928316116333,1.7797771692276
80,hybrid interleaved,40,32,18,13,15,0.002289003925397992,0.9960713386535645,4.078296661376953,5.1045708656311035
80,hybrid interleaved,40,32,18,5,35,0.004466319922357798,0.9782410860061646,4.159224033355713,1.780791163444519
