epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,25,32,18,26,9,0.029813937842845917,0.6711428165435791,4.134393692016602,2.2110888957977295
0,pure interleaved,25,32,18,13,15,0.026127640157938004,0.23960651457309723,4.089631080627441,4.6013689041137695
0,pure interleaved,25,32,18,5,35,0.02886456623673439,0.5029376745223999,4.0204901695251465,5.137528896331787
0,pure blocked,25,32,18,21,34,0.027536435052752495,0.1856527030467987,4.068437099456787,4.235230922698975
0,pure blocked,25,32,18,19,8,0.027169423177838326,0.16913187503814697,4.038801193237305,5.905986785888672
0,pure interleaved,25,32,18,4,16,0.02376507595181465,0.38248297572135925,4.0229949951171875,5.103447914123535
5,pure blocked,25,32,18,26,9,0.026229873299598694,0.8512540459632874,4.140835762023926,2.7507476806640625
5,pure interleaved,25,32,18,13,15,0.024358753114938736,0.29080432653427124,4.040811538696289,5.434422969818115
5,pure interleaved,25,32,18,5,35,0.026542870327830315,0.6843026876449585,4.105513572692871,4.051334381103516
5,pure blocked,25,32,18,21,34,0.025988370180130005,0.3188764154911041,4.093132972717285,3.7220022678375244
5,pure blocked,25,32,18,19,8,0.026133745908737183,0.43627917766571045,4.031909465789795,6.101642608642578
5,pure interleaved,25,32,18,4,16,0.02317030355334282,0.34366968274116516,3.966740131378174,5.672544479370117
10,pure blocked,25,32,18,26,9,0.022413058206439018,0.8044243454933167,4.1392621994018555,2.0646235942840576
10,pure interleaved,25,32,18,13,15,0.02058609016239643,0.05524464324116707,4.057816028594971,4.632124900817871
10,pure interleaved,25,32,18,5,35,0.024520812556147575,0.3379078507423401,4.138661861419678,3.6147565841674805
10,pure blocked,25,32,18,21,34,0.023300087079405785,0.3329998552799225,4.141343116760254,2.975086212158203
10,pure blocked,25,32,18,19,8,0.02271476574242115,0.6653308868408203,4.059385776519775,5.2923688888549805
10,pure interleaved,25,32,18,4,16,0.019704919308423996,0.45714882016181946,3.978276252746582,5.64443826675415
15,pure blocked,25,32,18,26,9,0.020941926166415215,0.8470207452774048,4.159874439239502,1.6691135168075562
15,pure interleaved,25,32,18,13,15,0.019856398925185204,0.09261992573738098,4.0988078117370605,2.99857497215271
15,pure interleaved,25,32,18,5,35,0.021287836134433746,0.07241874933242798,4.142164707183838,2.881180763244629
15,pure blocked,25,32,18,21,34,0.0203496553003788,0.5584307312965393,4.145342826843262,2.2725186347961426
15,pure blocked,25,32,18,19,8,0.01909554749727249,0.9007981419563293,4.021912097930908,5.216551780700684
15,pure interleaved,25,32,18,4,16,0.0164897833019495,0.5845184922218323,3.987051486968994,5.8828840255737305
