epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,26,32,18,26,9,0.02886292152106762,0.8510056734085083,4.078678131103516,5.062102794647217
0,pure interleaved,26,32,18,13,15,0.021939875558018684,0.01992178149521351,4.004112243652344,4.090951442718506
0,pure interleaved,26,32,18,5,35,0.024727242067456245,0.39617598056793213,4.090219020843506,3.568544387817383
0,pure blocked,26,32,18,21,34,0.02067636512219906,0.5980269908905029,3.9437649250030518,4.881465911865234
0,pure blocked,26,32,18,19,8,0.026985513046383858,0.3234214782714844,4.068856239318848,3.881232500076294
0,pure interleaved,26,32,18,4,16,0.025635389611124992,0.37400224804878235,4.109498023986816,3.871798515319824
5,pure blocked,26,32,18,26,9,0.02583209238946438,0.9317511320114136,4.097270488739014,4.354771137237549
5,pure interleaved,26,32,18,13,15,0.019737325608730316,0.0,4.052464008331299,3.9239091873168945
5,pure interleaved,26,32,18,5,35,0.022374875843524933,0.3265717029571533,4.091838836669922,3.090798854827881
5,pure blocked,26,32,18,21,34,0.019882380962371826,0.7140098214149475,3.967139959335327,5.310173034667969
5,pure blocked,26,32,18,19,8,0.021449891850352287,0.4047998785972595,4.020967483520508,4.801499843597412
5,pure interleaved,26,32,18,4,16,0.022182269021868706,0.5091524124145508,4.12298059463501,3.4722797870635986
10,pure blocked,26,32,18,26,9,0.020979508757591248,0.8706977963447571,4.1145524978637695,3.7282042503356934
10,pure interleaved,26,32,18,13,15,0.018525246530771255,0.023223083466291428,4.054452419281006,4.158230781555176
10,pure interleaved,26,32,18,5,35,0.01932922750711441,0.21533918380737305,4.119117259979248,2.670729160308838
10,pure blocked,26,32,18,21,34,0.018726103007793427,0.7157270312309265,4.061052322387695,4.626029014587402
10,pure blocked,26,32,18,19,8,0.015099740587174892,0.5130959153175354,3.913590431213379,5.873945713043213
10,pure interleaved,26,32,18,4,16,0.01798275299370289,0.4204148054122925,4.107810974121094,3.3665101528167725
15,pure blocked,26,32,18,26,9,0.01629501022398472,0.8213269114494324,4.128188610076904,3.167245388031006
15,pure interleaved,26,32,18,13,15,0.015331624075770378,0.07437354326248169,4.035168647766113,4.51307487487793
15,pure interleaved,26,32,18,5,35,0.014990389347076416,0.3468305468559265,4.13339900970459,2.694842576980591
15,pure blocked,26,32,18,21,34,0.015808487311005592,0.832280158996582,4.101165294647217,3.5140953063964844
15,pure blocked,26,32,18,19,8,0.010930880904197693,0.6753976941108704,3.866077184677124,6.135406494140625
15,pure interleaved,26,32,18,4,16,0.013350138440728188,0.3886534869670868,4.0587687492370605,2.886507272720337
20,pure blocked,26,32,18,26,9,0.011076358146965504,0.9150065183639526,4.149356842041016,2.6450612545013428
20,pure interleaved,26,32,18,13,15,0.012895056046545506,0.1291479617357254,4.050653457641602,4.455371379852295
20,pure interleaved,26,32,18,5,35,0.011054419912397861,0.5162208676338196,4.145079135894775,2.6773219108581543
20,pure blocked,26,32,18,21,34,0.011648435145616531,0.8280481100082397,4.135308742523193,2.749812364578247
20,pure blocked,26,32,18,19,8,0.009849566966295242,0.7724117040634155,3.902519702911377,6.416909217834473
20,pure interleaved,26,32,18,4,16,0.010538139380514622,0.4008999168872833,4.08124303817749,2.428351879119873
25,pure blocked,26,32,18,26,9,0.009052511304616928,0.997754693031311,4.150495529174805,2.5701897144317627
25,pure interleaved,26,32,18,13,15,0.009971342980861664,0.1120920479297638,4.035157680511475,4.339137077331543
25,pure interleaved,26,32,18,5,35,0.00914202630519867,0.4570143520832062,4.148780822753906,2.596864938735962
25,pure blocked,26,32,18,21,34,0.009515020996332169,0.6635047197341919,4.148449897766113,2.589407444000244
25,pure blocked,26,32,18,19,8,0.008793549612164497,0.8564807176589966,3.9649744033813477,6.0337233543396
25,pure interleaved,26,32,18,4,16,0.008994347415864468,0.4373926520347595,4.052613735198975,2.5393242835998535
30,pure blocked,26,32,18,26,9,0.00855522695928812,0.9999969005584717,4.1518731117248535,2.4160094261169434
30,pure interleaved,26,32,18,13,15,0.010273206979036331,0.17614887654781342,4.05618143081665,3.837721109390259
30,pure interleaved,26,32,18,5,35,0.008586379699409008,0.4942909777164459,4.151874542236328,2.4185028076171875
30,pure blocked,26,32,18,21,34,0.008794879540801048,0.6708325147628784,4.151943206787109,2.415893793106079
30,pure blocked,26,32,18,19,8,0.008420717902481556,0.8790435791015625,3.952873706817627,5.692715644836426
30,pure interleaved,26,32,18,4,16,0.0076475730165839195,0.4233941435813904,4.07554817199707,2.228947162628174
35,pure blocked,26,32,18,26,9,0.00795006938278675,0.9999988675117493,4.154510021209717,2.3592522144317627
35,pure interleaved,26,32,18,13,15,0.008229679428040981,0.3002268970012665,4.051407337188721,3.622706890106201
35,pure interleaved,26,32,18,5,35,0.007927300408482552,0.5012139081954956,4.15454626083374,2.3585994243621826
35,pure blocked,26,32,18,21,34,0.00804160162806511,0.6276659965515137,4.154525279998779,2.3569021224975586
35,pure blocked,26,32,18,19,8,0.006470005493611097,0.8563969135284424,3.982349157333374,5.773308753967285
35,pure interleaved,26,32,18,4,16,0.007557162083685398,0.4686785936355591,4.0778422355651855,2.2175521850585938
40,pure blocked,26,32,18,26,9,0.007613398600369692,0.9999983310699463,4.153932094573975,2.3761978149414062
40,pure interleaved,26,32,18,13,15,0.007929755374789238,0.4216136932373047,4.086546421051025,3.3382437229156494
40,pure interleaved,26,32,18,5,35,0.007554297335445881,0.5074306726455688,4.15394926071167,2.376936912536621
40,pure blocked,26,32,18,21,34,0.007613870315253735,0.5668694972991943,4.153927326202393,2.377995491027832
40,pure blocked,26,32,18,19,8,0.005687945056706667,0.8601134419441223,3.9751017093658447,5.81053352355957
40,pure interleaved,26,32,18,4,16,0.007349357940256596,0.5394458174705505,4.077276706695557,2.5971505641937256
45,pure blocked,26,32,18,26,9,0.006554699037224054,0.9999986290931702,4.156400203704834,2.26176381111145
45,pure interleaved,26,32,18,13,15,0.00810991507023573,0.5427474975585938,4.093495845794678,3.4358959197998047
45,pure interleaved,26,32,18,5,35,0.006507581099867821,0.5261091589927673,4.156420707702637,2.2615983486175537
45,pure blocked,26,32,18,21,34,0.006521688308566809,0.6280339956283569,4.156399726867676,2.259483814239502
45,pure blocked,26,32,18,19,8,0.004572540055960417,0.8917804956436157,3.9756367206573486,6.159656524658203
45,pure interleaved,26,32,18,4,16,0.006289549637585878,0.5954579710960388,4.099551677703857,2.4068853855133057
50,pure blocked,26,32,18,26,9,0.006279383320361376,0.9999989867210388,4.158078193664551,1.8516193628311157
50,pure interleaved,26,32,18,13,15,0.0073044318705797195,0.7011264562606812,4.082101345062256,3.561384677886963
50,pure interleaved,26,32,18,5,35,0.006253379862755537,0.36706066131591797,4.1581010818481445,1.8516985177993774
50,pure blocked,26,32,18,21,34,0.006202924996614456,0.5894680619239807,4.158089637756348,1.8511161804199219
50,pure blocked,26,32,18,19,8,0.0039716013707220554,0.8518157601356506,3.9762649536132812,5.742409706115723
50,pure interleaved,26,32,18,4,16,0.006013866979628801,0.6734740734100342,4.08582067489624,2.9981443881988525
55,pure blocked,26,32,18,26,9,0.006179147399961948,0.9999995827674866,4.1583123207092285,1.9314271211624146
55,pure interleaved,26,32,18,13,15,0.007086180616170168,0.7852736711502075,4.101489067077637,3.3824450969696045
55,pure interleaved,26,32,18,5,35,0.0061239092610776424,0.4268186092376709,4.1583333015441895,1.930490255355835
55,pure blocked,26,32,18,21,34,0.006078625097870827,0.681365966796875,4.158318996429443,1.9300110340118408
55,pure blocked,26,32,18,19,8,0.004967457614839077,0.9024567008018494,4.020677089691162,5.0221428871154785
55,pure interleaved,26,32,18,4,16,0.005676910746842623,0.7259970903396606,4.115712642669678,2.8535192012786865
60,pure blocked,26,32,18,26,9,0.006272004917263985,0.9999979734420776,4.161015033721924,1.999985694885254
60,pure interleaved,26,32,18,13,15,0.005685379263013601,0.8148375749588013,4.095971584320068,3.556095600128174
60,pure interleaved,26,32,18,5,35,0.006272268947213888,0.46721166372299194,4.161043167114258,2.0001943111419678
60,pure blocked,26,32,18,21,34,0.006176507566124201,0.6232710480690002,4.1610188484191895,1.99928879737854
60,pure blocked,26,32,18,19,8,0.0038186630699783564,0.8745647072792053,4.028996467590332,4.9995341300964355
60,pure interleaved,26,32,18,4,16,0.005604279227554798,0.8388861417770386,4.119604110717773,2.984610080718994
65,pure blocked,26,32,18,26,9,0.007216799538582563,0.999999463558197,4.160300254821777,2.1346487998962402
65,pure interleaved,26,32,18,13,15,0.0050114854238927364,0.804123044013977,4.104926586151123,3.3444325923919678
65,pure interleaved,26,32,18,5,35,0.007163462229073048,0.5807061791419983,4.16030740737915,2.1344709396362305
65,pure blocked,26,32,18,21,34,0.007176120765507221,0.5476050972938538,4.160337924957275,2.1328372955322266
65,pure blocked,26,32,18,19,8,0.003835702082142234,0.9010081887245178,4.058305740356445,4.607419967651367
65,pure interleaved,26,32,18,4,16,0.005368231330066919,0.9233816266059875,4.1266655921936035,3.0669240951538086
70,pure blocked,26,32,18,26,9,0.005876765586435795,0.9999986886978149,4.162347316741943,1.8364174365997314
70,pure interleaved,26,32,18,13,15,0.004402720369398594,0.899432897567749,4.09503173828125,3.984374761581421
70,pure interleaved,26,32,18,5,35,0.0058198110200464725,0.5535448789596558,4.16237211227417,1.835385799407959
70,pure blocked,26,32,18,21,34,0.0058362348936498165,0.6404802799224854,4.162364959716797,1.8355162143707275
70,pure blocked,26,32,18,19,8,0.0040273601189255714,0.9370148181915283,4.081926345825195,4.220425128936768
70,pure interleaved,26,32,18,4,16,0.005023006349802017,0.9185932874679565,4.128945827484131,2.942044258117676
75,pure blocked,26,32,18,26,9,0.005713028833270073,0.999993622303009,4.163969039916992,1.7247742414474487
75,pure interleaved,26,32,18,13,15,0.0032670930959284306,0.930925190448761,4.098435878753662,3.7440943717956543
75,pure interleaved,26,32,18,5,35,0.005679585970938206,0.5260524153709412,4.16396427154541,1.7251384258270264
75,pure blocked,26,32,18,21,34,0.005677422042936087,0.695783257484436,4.163945198059082,1.7244011163711548
75,pure blocked,26,32,18,19,8,0.003310707863420248,0.9677468538284302,4.099986553192139,3.8874564170837402
