epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,46,256,18,26,9,0.025058655068278313,0.5146650671958923,4.143126487731934,2.038367986679077
0,pure interleaved,46,256,18,13,15,0.01404145173728466,0.11892211437225342,3.2196967601776123,9.801675796508789
0,pure interleaved,46,256,18,5,35,0.025549352169036865,0.27526968717575073,4.104451656341553,2.6499335765838623
0,pure blocked,46,256,18,21,34,0.024483496323227882,0.04238095134496689,3.9963016510009766,3.615015983581543
0,pure blocked,46,256,18,19,8,0.026176363229751587,0.5056173205375671,4.118365287780762,2.5683743953704834
0,pure interleaved,46,256,18,4,16,0.022702494636178017,0.3860996663570404,4.104528427124023,2.347382068634033
5,pure blocked,46,256,18,26,9,0.014674907550215721,0.7873399257659912,4.155867576599121,1.2658898830413818
5,pure interleaved,46,256,18,13,15,0.014094921760261059,0.310484915971756,3.56221079826355,8.115010261535645
5,pure interleaved,46,256,18,5,35,0.013165326789021492,0.036804601550102234,4.157389163970947,1.2862768173217773
5,pure blocked,46,256,18,21,34,0.014336904510855675,0.017205432057380676,4.1554765701293945,1.3919613361358643
5,pure blocked,46,256,18,19,8,0.010108502581715584,0.9138683080673218,4.015966892242432,3.1515071392059326
5,pure interleaved,46,256,18,4,16,0.011562974192202091,0.9979047775268555,3.9746322631835938,2.3062071800231934
10,pure blocked,46,256,18,26,9,0.012465603649616241,0.9999918937683105,4.157016277313232,1.8788188695907593
10,pure interleaved,46,256,18,13,15,0.003583539044484496,0.4321438670158386,3.6768600940704346,10.641722679138184
10,pure interleaved,46,256,18,5,35,0.012548722326755524,0.21488289535045624,4.157018661499023,1.8784642219543457
10,pure blocked,46,256,18,21,34,0.012388031929731369,0.13103674352169037,4.15703821182251,1.875952124595642
10,pure blocked,46,256,18,19,8,0.0028740335255861282,0.9766373634338379,4.014512062072754,3.1896250247955322
10,pure interleaved,46,256,18,4,16,0.0037601832300424576,0.9802775979042053,3.9394688606262207,2.645670175552368
15,pure blocked,46,256,18,26,9,0.011852552182972431,0.9999963045120239,4.157618522644043,1.8629907369613647
15,pure interleaved,46,256,18,13,15,0.0060722422786056995,0.8551849126815796,3.9544119834899902,9.235712051391602
15,pure interleaved,46,256,18,5,35,0.011930479668080807,0.20961585640907288,4.15762996673584,1.8607724905014038
15,pure blocked,46,256,18,21,34,0.011756038293242455,0.0032040125224739313,4.157654762268066,1.8585662841796875
15,pure blocked,46,256,18,19,8,0.0015885047614574432,0.9340353012084961,3.8117690086364746,4.322111129760742
15,pure interleaved,46,256,18,4,16,0.0017119590193033218,0.9650469422340393,3.5964598655700684,3.914384603500366
20,pure blocked,46,256,18,26,9,0.015865301713347435,0.9999968409538269,4.162844657897949,1.838206171989441
20,pure interleaved,46,256,18,13,15,0.0032614765223115683,0.8606318235397339,3.939091682434082,8.65291976928711
