epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,hybrid blocked,38,256,18,26,9,0.02415679767727852,0.3479858338832855,4.066254615783691,3.8320136070251465
0,hybrid interleaved,38,256,18,13,15,0.022720422595739365,0.6887465119361877,3.9020490646362305,8.566405296325684
0,hybrid interleaved,38,256,18,5,35,0.021727638319134712,0.08632440119981766,3.9985926151275635,4.0218939781188965
0,hybrid blocked,38,256,18,21,34,0.020215297117829323,0.18585503101348877,3.9429526329040527,6.382909774780273
0,hybrid blocked,38,256,18,19,8,0.02449977956712246,0.46367210149765015,3.948836088180542,3.806142568588257
0,hybrid interleaved,38,256,18,4,16,0.023802096024155617,0.2589823007583618,3.7688679695129395,5.675212383270264
5,hybrid blocked,38,256,18,26,9,0.013028227724134922,0.9515750408172607,4.146671295166016,2.0859458446502686
5,hybrid interleaved,38,256,18,13,15,0.01471638772636652,0.932271420955658,3.7298200130462646,7.223166465759277
5,hybrid interleaved,38,256,18,5,35,0.013501540757715702,0.44904977083206177,4.147170066833496,2.2123196125030518
5,hybrid blocked,38,256,18,21,34,0.013113420456647873,0.3048354387283325,4.149679660797119,2.3995988368988037
5,hybrid blocked,38,256,18,19,8,0.007223192602396011,0.8911019563674927,3.905388355255127,2.681298017501831
5,hybrid interleaved,38,256,18,4,16,0.014987624250352383,0.9544708132743835,3.900217294692993,6.936770915985107
10,hybrid blocked,38,256,18,26,9,0.012113579548895359,0.9999998211860657,4.156299591064453,1.416179895401001
10,hybrid interleaved,38,256,18,13,15,0.008775134570896626,0.9727826118469238,3.9570252895355225,5.2782416343688965
10,hybrid interleaved,38,256,18,5,35,0.01191591378301382,0.3937745690345764,4.156310558319092,1.415989875793457
10,hybrid blocked,38,256,18,21,34,0.011903196573257446,0.2960614562034607,4.15632438659668,1.4164326190948486
10,hybrid blocked,38,256,18,19,8,0.0054611628875136375,0.9641633033752441,3.919783115386963,2.789735794067383
10,hybrid interleaved,38,256,18,4,16,0.007722918409854174,0.9751507639884949,3.9246816635131836,5.800662994384766
15,hybrid blocked,38,256,18,26,9,0.0077924164943397045,1.0,4.163129806518555,1.1576437950134277
15,hybrid interleaved,38,256,18,13,15,0.0021703916136175394,0.9349569082260132,3.996742010116577,5.588849067687988
15,hybrid interleaved,38,256,18,5,35,0.007661687210202217,0.595575749874115,4.1631317138671875,1.1577552556991577
15,hybrid blocked,38,256,18,21,34,0.007657818496227264,0.3405965566635132,4.163131237030029,1.1576411724090576
15,hybrid blocked,38,256,18,19,8,0.0023858407512307167,0.9682297110557556,3.9538331031799316,3.236881732940674
15,hybrid interleaved,38,256,18,4,16,0.004867703188210726,0.786769449710846,3.990694046020508,5.351410388946533
20,hybrid blocked,38,256,18,26,9,0.006444609258323908,0.9999999403953552,4.165590763092041,0.7903323173522949
20,hybrid interleaved,38,256,18,13,15,0.0035290035884827375,0.9277634620666504,3.9770078659057617,4.187853813171387
20,hybrid interleaved,38,256,18,5,35,0.006393718533217907,0.5897859334945679,4.165590286254883,0.7904059290885925
20,hybrid blocked,38,256,18,21,34,0.006409523077309132,0.2964121401309967,4.165590286254883,0.7904176115989685
20,hybrid blocked,38,256,18,19,8,0.0011780090862885118,0.9702937602996826,3.9846174716949463,3.3472251892089844
